location,scenario,future_period,gcm,temp_metric_name,temp_metric_value,historical_temp_metric_value,temp_deviation_from_historical,temp_rank,temp_class
Darwin,ssp126,2050,MPI-ESM1-2-HR,annual_mean_temperature,27.76,27.138,0.622,1,coolest
Darwin,ssp126,2050,NorESM2-MM,annual_mean_temperature,28.167,27.138,1.029,2,
Darwin,ssp126,2050,CMCC-ESM2,annual_mean_temperature,28.215,27.138,1.077,3,
Darwin,ssp126,2050,EC-Earth3,annual_mean_temperature,28.271,27.138,1.133,4,median
Darwin,ssp126,2050,ACCESS-CM2,annual_mean_temperature,28.307,27.138,1.169,5,
Darwin,ssp126,2050,CESM2,annual_mean_temperature,28.314,27.138,1.175,6,
Darwin,ssp126,2050,ACCESS-ESM1-5,annual_mean_temperature,28.43,27.138,1.292,7,hottest
Darwin,ssp126,2070,MPI-ESM1-2-HR,annual_mean_temperature,27.778,27.138,0.639,1,coolest
Darwin,ssp126,2070,NorESM2-MM,annual_mean_temperature,28.201,27.138,1.062,2,
Darwin,ssp126,2070,CMCC-ESM2,annual_mean_temperature,28.359,27.138,1.221,3,
Darwin,ssp126,2070,EC-Earth3,annual_mean_temperature,28.398,27.138,1.26,4,median
Darwin,ssp126,2070,CESM2,annual_mean_temperature,28.497,27.138,1.359,5,
Darwin,ssp126,2070,ACCESS-ESM1-5,annual_mean_temperature,28.498,27.138,1.36,6,
Darwin,ssp126,2070,ACCESS-CM2,annual_mean_temperature,28.656,27.138,1.518,7,hottest
Darwin,ssp370,2030,CMCC-ESM2,annual_mean_temperature,27.54,27.138,0.402,1,coolest
Darwin,ssp370,2030,MPI-ESM1-2-HR,annual_mean_temperature,27.583,27.138,0.444,2,
Darwin,ssp370,2030,NorESM2-MM,annual_mean_temperature,27.864,27.138,0.726,3,
Darwin,ssp370,2030,ACCESS-ESM1-5,annual_mean_temperature,27.918,27.138,0.78,4,median
Darwin,ssp370,2030,CESM2,annual_mean_temperature,27.986,27.138,0.848,5,
Darwin,ssp370,2030,ACCESS-CM2,annual_mean_temperature,27.992,27.138,0.854,6,
Darwin,ssp370,2030,EC-Earth3,annual_mean_temperature,28.004,27.138,0.866,7,hottest
Darwin,ssp370,2050,MPI-ESM1-2-HR,annual_mean_temperature,28.416,27.138,1.278,1,coolest
Darwin,ssp370,2050,CMCC-ESM2,annual_mean_temperature,28.46,27.138,1.322,2,
Darwin,ssp370,2050,NorESM2-MM,annual_mean_temperature,28.512,27.138,1.374,3,
Darwin,ssp370,2050,CESM2,annual_mean_temperature,28.653,27.138,1.515,4,median
Darwin,ssp370,2050,EC-Earth3,annual_mean_temperature,28.779,27.138,1.641,5,
Darwin,ssp370,2050,ACCESS-ESM1-5,annual_mean_temperature,28.925,27.138,1.787,6,
Darwin,ssp370,2050,ACCESS-CM2,annual_mean_temperature,28.994,27.138,1.856,7,hottest
Darwin,ssp370,2070,MPI-ESM1-2-HR,annual_mean_temperature,28.992,27.138,1.854,1,coolest
Darwin,ssp370,2070,NorESM2-MM,annual_mean_temperature,29.088,27.138,1.95,2,
Darwin,ssp370,2070,CMCC-ESM2,annual_mean_temperature,29.392,27.138,2.253,3,
Darwin,ssp370,2070,ACCESS-ESM1-5,annual_mean_temperature,29.601,27.138,2.463,4,median
Darwin,ssp370,2070,CESM2,annual_mean_temperature,29.804,27.138,2.666,5,
Darwin,ssp370,2070,EC-Earth3,annual_mean_temperature,29.855,27.138,2.717,6,
Darwin,ssp370,2070,ACCESS-CM2,annual_mean_temperature,30.092,27.138,2.954,7,hottest
Hobart,ssp126,2030,NorESM2-MM,annual_mean_temperature,12.747,12.651,0.097,1,coolest
Hobart,ssp126,2030,ACCESS-ESM1-5,annual_mean_temperature,13.002,12.651,0.351,2,
Hobart,ssp126,2030,EC-Earth3,annual_mean_temperature,13.226,12.651,0.576,3,
Hobart,ssp126,2030,CMCC-ESM2,annual_mean_temperature,13.267,12.651,0.616,4,median
Hobart,ssp126,2030,ACCESS-CM2,annual_mean_temperature,13.333,12.651,0.682,5,
Hobart,ssp126,2030,MPI-ESM1-2-HR,annual_mean_temperature,13.402,12.651,0.752,6,
Hobart,ssp126,2030,CESM2,annual_mean_temperature,13.7,12.651,1.049,7,hottest
Hobart,ssp126,2050,NorESM2-MM,annual_mean_temperature,12.901,12.651,0.251,1,coolest
Hobart,ssp126,2050,EC-Earth3,annual_mean_temperature,13.335,12.651,0.684,2,
